Guest (12.202.219.138)|12.202.219.138|11/04/05 - 18:20:01|22
Bubba|152.130.7.3|11/04/05 - 19:01:37|26
Guest (151.202.77.166)|151.202.77.166|11/04/05 - 19:50:54|16
Foppish|24.50.227.3|11/04/05 - 20:51:23|9
Guest (71.192.213.27)|71.192.213.27|11/04/05 - 21:14:47|6
Misery|71.192.213.27|11/04/05 - 22:02:16|42
Ikules|70.240.214.53|11/04/05 - 22:58:52|4
Guest (70.240.214.53)|70.240.214.53|11/04/05 - 23:03:23|34
volizden|68.90.144.70|11/04/05 - 23:06:38|68
Thantoes|69.29.97.43|11/04/05 - 23:07:59|8
Nierah|68.90.144.70|11/04/05 - 23:12:14|83
