||1|
Bard|Bard|1|Bard
Beastlord|Beastlord|1|Beastlord
Cleric|Cleric|1|Cleric
Druid|Druid|1|Druid
Enchanter|Enchanter|1|Enchanter
Magican|Magican|1|Magican
Monk|Monk|1|Monk
Necromancer|Necromancer|1|Necromancer
Paladin|Paladin|1|Paladin
Ranger|Ranger|1|Ranger
Rogue|Rogue|1|Rogue
Shadow Knight|Shadow Knight|1|Shadow Knight
Shaman|Shaman|1|Shaman
Warrior|Warrior|1|Warrior
Wizard|Wizard|1|Wizard
