Guest (68.90.144.70)|68.90.144.70|10/24/05 - 09:40:43|2
Guest (67.164.165.159)|67.164.165.159|10/24/05 - 10:50:08|15
klassy|67.164.165.159|10/24/05 - 10:55:01|3
Thantoes|69.29.77.42|10/24/05 - 11:18:31|12
Guest (198.209.167.35)|198.209.167.35|10/24/05 - 13:08:34|2
Guest (198.209.162.202)|198.209.162.202|10/24/05 - 14:54:13|3
Ferrik|192.91.171.36|10/24/05 - 15:18:50|45
Guest (198.209.165.222)|198.209.165.222|10/24/05 - 15:56:38|2
Erati|198.209.165.222|10/24/05 - 15:56:41|28
minmite|71.208.55.251|10/24/05 - 17:05:58|5
volizden|68.90.144.70|10/24/05 - 19:09:02|164
linkk|67.164.165.159|10/24/05 - 19:28:55|330
Bubba|152.130.7.3|10/24/05 - 23:59:51|152
