Everquest Interface|Interface|You can find new gui interface for eq here
General Sites|general|All sites that just give general information
Maps|Maps|Maps sites for finding when your lost
Class Related|Class|Good info for related classes
Other Guild Sites|Guilds|Friends and neighbor guild sites
Tradeskills|trades|Trade Skill Webpages
