Forecast|Forecast|04/16/04 - 10:33:59|Raid start times need attention. Show, buff, then OTM. Late comer's can be CoH'd with CoH tem set up (when applicable). That would clearly (IMO) make it a strong 5 rating on the scale!
Killaana|Killaana Moonshade|04/15/04 - 07:52:12|Just to say, this is a great guild, but i can be better if we could just have more people interested in flags and listening better in raids.
