1|Kikys Poisonous Pages|http://kikyara.tripod.com/|Rogue resource for poisons|02/13/04 - 18:46:53|Sealilly|0|0|0|
2|Tinkering Compendium|http://www.tinkering.org/|Ecellent Tinkering Information|02/13/04 - 18:43:11|Sealilly|2|0|0|
3|Trader's Workshop|http://www.geocities.com/shadowknight57/|guide to the fastest way to level up ur tradeskills|02/13/04 - 18:41:12|Sealilly|8|0|0|
4|EqTraders|http://www.eqtraders.com/articles/news_page.php|Good place to learn a skill|02/05/04 - 23:05:13|Coralhunt|6|1|10|
5|Gumkak's Stuffz an' Tinkz|http://www.valendor.org/gumkak/jewelcraft.asp|Jewlery Guide|02/13/04 - 18:49:15|Sealilly|2|0|0|
