klassy|Klassy Truheart|02/19/04 - 16:35:25|I said just one good bonk should get the job done hehe sorry Lumi!
Killaana|Killaana Moonshade|02/12/04 - 12:56:24|sorry lumi but you probably already know how i voted hehe /bonks lumi on the head
admin|Keny Misspeller|02/11/04 - 14:01:45|*NOTE TO SELF* make sure ray cant add polls!!
rayadien|rayadien|02/10/04 - 13:34:48|i hahaha i voted flury to but if we cant have fun with GL then who is next on list .. OHYA forgot the gnome ,, hahahha 
Coralhunt|Coralhunt|02/09/04 - 16:26:01|Whoot, Looks Like Lumi is going to get a beating
admin|Keny Misspeller|02/06/04 - 12:17:33|Im just testing the poll thingy out. Dont get mad at me Lumi =). and yes I made the first vote for a FLURY of Bonks!
